year,round,circuitId,name,date,wiki_url,fp1_date,fp2_date,fp3_date,qualifying_date,sprint_date
12,8,46,United States Grand Prix,1961-10-08 00:00:00Z,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix,,,,,
13,1,39,Dutch Grand Prix,1962-05-20 00:00:00Z,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix,,,,,
13,2,6,Monaco Grand Prix,1962-06-03 00:00:00Z,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix,,,,,
13,3,13,Belgian Grand Prix,1962-06-17 00:00:00Z,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix,,,,,
13,4,53,French Grand Prix,1962-07-08 00:00:00Z,http://en.wikipedia.org/wiki/1962_French_Grand_Prix,,,,,
13,5,58,British Grand Prix,1962-07-21 00:00:00Z,http://en.wikipedia.org/wiki/1962_British_Grand_Prix,,,,,
13,6,20,German Grand Prix,1962-08-05 00:00:00Z,http://en.wikipedia.org/wiki/1962_German_Grand_Prix,,,,,
13,7,14,Italian Grand Prix,1962-09-16 00:00:00Z,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix,,,,,
13,8,46,United States Grand Prix,1962-10-07 00:00:00Z,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix,,,,,
13,9,56,South African Grand Prix,1962-12-29 00:00:00Z,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix,,,,,
14,1,6,Monaco Grand Prix,1963-05-26 00:00:00Z,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix,,,,,
14,2,13,Belgian Grand Prix,1963-06-09 00:00:00Z,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix,,,,,
14,3,39,Dutch Grand Prix,1963-06-23 00:00:00Z,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix,,,,,
14,4,55,French Grand Prix,1963-06-30 00:00:00Z,http://en.wikipedia.org/wiki/1963_French_Grand_Prix,,,,,
14,5,9,British Grand Prix,1963-07-20 00:00:00Z,http://en.wikipedia.org/wiki/1963_British_Grand_Prix,,,,,
14,6,20,German Grand Prix,1963-08-04 00:00:00Z,http://en.wikipedia.org/wiki/1963_German_Grand_Prix,,,,,
14,7,14,Italian Grand Prix,1963-09-08 00:00:00Z,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix,,,,,
14,8,46,United States Grand Prix,1963-10-06 00:00:00Z,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix,,,,,
14,9,32,Mexican Grand Prix,1963-10-27 00:00:00Z,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix,,,,,
14,10,56,South African Grand Prix,1963-12-28 00:00:00Z,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix,,,,,
15,1,6,Monaco Grand Prix,1964-05-10 00:00:00Z,http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix,,,,,
15,2,39,Dutch Grand Prix,1964-05-24 00:00:00Z,http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix,,,,,
15,3,13,Belgian Grand Prix,1964-06-14 00:00:00Z,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix,,,,,
15,4,53,French Grand Prix,1964-06-28 00:00:00Z,http://en.wikipedia.org/wiki/1964_French_Grand_Prix,,,,,
15,5,38,British Grand Prix,1964-07-11 00:00:00Z,http://en.wikipedia.org/wiki/1964_British_Grand_Prix,,,,,
15,6,20,German Grand Prix,1964-08-02 00:00:00Z,http://en.wikipedia.org/wiki/1964_German_Grand_Prix,,,,,
15,7,57,Austrian Grand Prix,1964-08-23 00:00:00Z,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix,,,,,
15,8,14,Italian Grand Prix,1964-09-06 00:00:00Z,http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix,,,,,
15,9,46,United States Grand Prix,1964-10-04 00:00:00Z,http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix,,,,,
15,10,32,Mexican Grand Prix,1964-10-25 00:00:00Z,http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix,,,,,
16,1,56,South African Grand Prix,1965-01-01 00:00:00Z,http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix,,,,,
16,2,6,Monaco Grand Prix,1965-05-30 00:00:00Z,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix,,,,,
16,3,13,Belgian Grand Prix,1965-06-13 00:00:00Z,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix,,,,,
16,4,51,French Grand Prix,1965-06-27 00:00:00Z,http://en.wikipedia.org/wiki/1965_French_Grand_Prix,,,,,
16,5,9,British Grand Prix,1965-07-10 00:00:00Z,http://en.wikipedia.org/wiki/1965_British_Grand_Prix,,,,,
16,6,39,Dutch Grand Prix,1965-07-18 00:00:00Z,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix,,,,,
16,7,20,German Grand Prix,1965-08-01 00:00:00Z,http://en.wikipedia.org/wiki/1965_German_Grand_Prix,,,,,
16,8,14,Italian Grand Prix,1965-09-12 00:00:00Z,http://en.wikipedia.org/wiki/1965_Italian_Grand_Prix,,,,,
16,9,46,United States Grand Prix,1965-10-03 00:00:00Z,http://en.wikipedia.org/wiki/1965_United_States_Grand_Prix,,,,,
16,10,32,Mexican Grand Prix,1965-10-24 00:00:00Z,http://en.wikipedia.org/wiki/1965_Mexican_Grand_Prix,,,,,
17,1,6,Monaco Grand Prix,1966-05-22 00:00:00Z,http://en.wikipedia.org/wiki/1966_Monaco_Grand_Prix,,,,,
