"id","created_at","updated_at","season_id","circuit_id","round","name","date","fp1_date","fp2_date","fp3_date","qualifying_date","sprint_date","wiki_url"
85,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,25,1,"Argentine Grand Prix","1960-02-07 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix"
86,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,6,2,"Monaco Grand Prix","1960-05-29 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix"
87,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,19,3,"Indianapolis 500","1960-05-30 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_Indianapolis_500"
88,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,39,4,"Dutch Grand Prix","1960-06-06 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix"
89,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,13,5,"Belgian Grand Prix","1960-06-19 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix"
90,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,55,6,"French Grand Prix","1960-07-03 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_French_Grand_Prix"
91,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,9,7,"British Grand Prix","1960-07-16 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_British_Grand_Prix"
92,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,59,8,"Portuguese Grand Prix","1960-08-14 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix"
93,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,14,9,"Italian Grand Prix","1960-09-04 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix"
94,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",11,60,10,"United States Grand Prix","1960-11-20 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix"
95,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",12,6,1,"Monaco Grand Prix","1961-05-14 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix"
96,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",12,39,2,"Dutch Grand Prix","1961-05-22 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix"
97,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",12,13,3,"Belgian Grand Prix","1961-06-18 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix"
98,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",12,55,4,"French Grand Prix","1961-07-02 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1961_French_Grand_Prix"
99,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",12,58,5,"British Grand Prix","1961-07-15 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1961_British_Grand_Prix"
100,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",12,20,6,"German Grand Prix","1961-08-06 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1961_German_Grand_Prix"
101,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",12,14,7,"Italian Grand Prix","1961-09-10 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix"
102,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",12,46,8,"United States Grand Prix","1961-10-08 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix"
103,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,39,1,"Dutch Grand Prix","1962-05-20 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix"
104,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,6,2,"Monaco Grand Prix","1962-06-03 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix"
105,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,13,3,"Belgian Grand Prix","1962-06-17 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix"
106,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,53,4,"French Grand Prix","1962-07-08 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_French_Grand_Prix"
107,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,58,5,"British Grand Prix","1962-07-21 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_British_Grand_Prix"
108,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,20,6,"German Grand Prix","1962-08-05 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_German_Grand_Prix"
109,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,14,7,"Italian Grand Prix","1962-09-16 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix"
110,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,46,8,"United States Grand Prix","1962-10-07 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix"
111,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",13,56,9,"South African Grand Prix","1962-12-29 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix"
112,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,6,1,"Monaco Grand Prix","1963-05-26 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix"
113,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,13,2,"Belgian Grand Prix","1963-06-09 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix"
114,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,39,3,"Dutch Grand Prix","1963-06-23 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix"
115,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,55,4,"French Grand Prix","1963-06-30 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_French_Grand_Prix"
