"id","created_at","updated_at","name","reference","nationality","wiki_url"
85,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Bellasi","bellasi","Swiss","http://en.wikipedia.org/wiki/Bellasi"
86,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","De Tomaso","tomaso","Italian","http://en.wikipedia.org/wiki/De_Tomaso"
87,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Cooper","cooper","British","http://en.wikipedia.org/wiki/Cooper_Car_Company"
88,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Eagle","eagle","American","http://en.wikipedia.org/wiki/Anglo_American_Racers"
89,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","LDS","lds","South African","http://en.wikipedia.org/wiki/LDS_(automobile)"
90,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Protos","protos","British","http://en.wikipedia.org/wiki/Protos_(constructor)"
91,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Shannon","shannon","British","http://en.wikipedia.org/wiki/Shannon_(Formula_One)"
92,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Scirocco","scirocco","British","http://en.wikipedia.org/wiki/Scirocco-Powell"
93,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","RE","re","Rhodesian","http://en.wikipedia.org/wiki/RE_%28automobile%29"
94,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","BRP","brp","British","http://en.wikipedia.org/wiki/British_Racing_Partnership"
95,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Porsche","porsche","German","http://en.wikipedia.org/wiki/Porsche_in_Formula_One"
96,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Derrington","derrington","British","http://en.wikipedia.org/wiki/Derrington-Francis"
97,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Gilby","gilby","British","http://en.wikipedia.org/wiki/Gilby"
98,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Stebro","stebro","Canadian","http://en.wikipedia.org/wiki/Stebro"
99,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Emeryson","emeryson","British","http://en.wikipedia.org/wiki/Emeryson"
100,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","ENB","enb","Belgian","http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge"
101,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","JBW","jbw","British","http://en.wikipedia.org/wiki/JBW"
102,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Ferguson","ferguson","British","http://en.wikipedia.org/wiki/Ferguson_Research_Ltd."
103,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","MBM","mbm","Swiss","http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors"
104,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Behra-Porsche","behra-porsche","Italian","http://en.wikipedia.org/wiki/Behra-Porsche"
105,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Maserati","maserati","Italian","http://en.wikipedia.org/wiki/Maserati"
106,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Scarab","scarab","American","http://en.wikipedia.org/wiki/Scarab_(constructor)"
107,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Watson","watson","American","http://en.wikipedia.org/wiki/A.J._Watson"
108,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Epperly","epperly","American","http://en.wikipedia.org/wiki/Epperly"
109,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Phillips","phillips","American","http://en.wikipedia.org/wiki/Phillips_(constructor)"
110,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Lesovsky","lesovsky","American","http://en.wikipedia.org/wiki/Lesovsky"
111,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Trevis","trevis","American","http://en.wikipedia.org/wiki/Trevis"
112,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Meskowski","meskowski","American","http://en.wikipedia.org/wiki/Meskowski"
113,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Kurtis Kraft","kurtis_kraft","American","http://en.wikipedia.org/wiki/Kurtis_Kraft"
114,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Kuzma","kuzma","American","http://en.wikipedia.org/wiki/Kuzma_(constructor)"
115,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Christensen","vhristensen","American","http://en.wikipedia.org/wiki/Christensen_(constructor)"
116,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Ewing","ewing","American","http://en.wikipedia.org/wiki/Ewing_(constructor)"
117,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Aston Martin","aston_martin","British","http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One"
118,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Vanwall","vanwall","British","http://en.wikipedia.org/wiki/Vanwall"
